iter	Accuracy	MultiClass
0	0.7180821918	1.43999971
1	0.7349315068	1.316980381
2	0.752739726	1.211884803
3	0.7639726027	1.127312957
4	0.771369863	1.058418863
5	0.7769863014	0.9956648409
6	0.7760273973	0.9415428787
7	0.7749315068	0.8980132103
8	0.7746575342	0.8584035181
9	0.7746575342	0.8216392593
10	0.7820547945	0.7917137147
11	0.7847945205	0.763206182
12	0.7876712329	0.7373822742
13	0.7938356164	0.7145122856
14	0.7932876712	0.6916250925
15	0.7976712329	0.6719807324
16	0.7961643836	0.6544156657
17	0.8043835616	0.6386919804
18	0.8097260274	0.6216076251
19	0.8076712329	0.6074873212
20	0.8106849315	0.5949870086
21	0.8157534247	0.583426104
22	0.817260274	0.57081247
23	0.821369863	0.5601443912
24	0.8261643836	0.5490141931
25	0.8260273973	0.5400504804
26	0.8269863014	0.5316178881
27	0.8308219178	0.5216128671
28	0.8304109589	0.5143180387
29	0.8353424658	0.5054692063
30	0.8360273973	0.4983421868
31	0.8405479452	0.4920744322
32	0.8416438356	0.4865828761
33	0.842739726	0.4808952641
34	0.8438356164	0.4750237996
35	0.8457534247	0.4693243049
36	0.8480821918	0.4643687615
37	0.85	0.4587300816
38	0.8526027397	0.452454945
39	0.8560273973	0.4472303587
40	0.8565753425	0.4420993314
41	0.858630137	0.4364729834
42	0.862739726	0.4323401265
43	0.8649315068	0.4278824294
44	0.8647945205	0.4250767206
45	0.8667123288	0.4215348616
46	0.8702739726	0.4183697604
47	0.87	0.4134802772
48	0.8716438356	0.4103123541
49	0.8738356164	0.4057801893
50	0.8768493151	0.401813703
51	0.8771232877	0.3983278635
52	0.8806849315	0.394526062
53	0.8821917808	0.3919940681
54	0.8810958904	0.3889947036
55	0.8821917808	0.3866130464
56	0.8839726027	0.3836213173
57	0.8852054795	0.3810465829
58	0.8853424658	0.3788502582
59	0.8864383562	0.3768324333
60	0.8875342466	0.373735902
61	0.8860273973	0.3710155517
62	0.8920547945	0.3678157951
63	0.8935616438	0.364421417
64	0.8945205479	0.3619924772
65	0.895890411	0.3577031976
66	0.8964383562	0.3554464632
67	0.8968493151	0.3522714869
68	0.8978082192	0.3498154599
69	0.898630137	0.3474978994
70	0.898630137	0.3450515742
71	0.8984931507	0.3430741286
72	0.8994520548	0.340666525
73	0.8998630137	0.3383900507
74	0.9009589041	0.3363656821
75	0.9012328767	0.3341703981
76	0.9023287671	0.3319855571
77	0.9023287671	0.3304380621
78	0.9054794521	0.3281807056
79	0.9067123288	0.3260642446
80	0.9094520548	0.3233418119
81	0.91	0.3218283365
82	0.9102739726	0.3199932837
83	0.9116438356	0.3178749068
84	0.9115068493	0.316131616
85	0.9116438356	0.3151956964
86	0.9128767123	0.3140693573
87	0.9132876712	0.3123982542
88	0.9134246575	0.3109158336
89	0.9135616438	0.3095161217
90	0.9142465753	0.3078190819
91	0.9147945205	0.3059070218
92	0.915890411	0.3038366554
93	0.9163013699	0.3028854128
94	0.9173972603	0.3013599164
95	0.9187671233	0.2994558059
96	0.9191780822	0.2976538681
97	0.9197260274	0.2962771035
98	0.9195890411	0.2948363733
99	0.9208219178	0.293146342
100	0.9230136986	0.2917801799
101	0.9228767123	0.2901185378
102	0.9223287671	0.2884247185
103	0.9231506849	0.2863783477
104	0.9226027397	0.2855940687
105	0.9236986301	0.2834996235
106	0.9239726027	0.2818985542
107	0.9242465753	0.2806118503
108	0.9252054795	0.2789610724
109	0.9243835616	0.2779651214
110	0.9260273973	0.276312209
111	0.9268493151	0.274248774
112	0.9268493151	0.2730309879
113	0.9275342466	0.2722700871
114	0.927260274	0.27156114
115	0.9293150685	0.2699511503
116	0.9297260274	0.2688958378
117	0.9310958904	0.2670453698
118	0.9309589041	0.2662178437
119	0.9323287671	0.2650511545
120	0.9336986301	0.2632766235
121	0.9339726027	0.2621953865
122	0.9368493151	0.2605811343
123	0.9368493151	0.2588139192
124	0.9380821918	0.2569950571
125	0.9387671233	0.2556864131
126	0.9398630137	0.254469758
127	0.9415068493	0.2535134687
128	0.9416438356	0.2523781648
129	0.9426027397	0.251320017
130	0.944109589	0.249801775
131	0.942739726	0.2487397854
132	0.9439726027	0.2478046831
133	0.9445205479	0.2470705796
134	0.9449315068	0.246043257
135	0.9445205479	0.245378302
136	0.9460273973	0.2445536567
137	0.9460273973	0.2435494351
138	0.9463013699	0.2422849318
139	0.9463013699	0.2410063017
140	0.9465753425	0.2401381084
141	0.9465753425	0.2385170179
142	0.9469863014	0.2376450942
143	0.9473972603	0.2366306042
144	0.9478082192	0.2361862056
145	0.9475342466	0.2351721048
146	0.9473972603	0.2342371726
147	0.9479452055	0.2336360532
148	0.9480821918	0.2326634565
149	0.9483561644	0.231793918
150	0.9487671233	0.2307170059
151	0.948630137	0.230016903
152	0.9490410959	0.2292836981
153	0.95	0.2286722186
154	0.9501369863	0.2279703178
155	0.95	0.2272211441
156	0.9506849315	0.2259988887
157	0.9497260274	0.225001931
158	0.9506849315	0.2242693643
159	0.9508219178	0.2236597155
