iter	Passed	Remaining
0	30	30811
1	63	31452
2	94	31314
3	117	29376
4	145	29013
5	173	28679
6	204	29046
7	233	28998
8	263	28981
9	296	29357
10	323	29079
11	354	29221
12	422	32052
13	461	32476
14	495	32515
15	528	32503
16	556	32166
17	586	31995
18	614	31717
19	641	31452
20	672	31366
21	698	31071
22	729	31007
23	768	31254
24	796	31054
25	825	30929
26	859	30987
27	890	30915
28	924	30951
29	951	30765
30	985	30796
31	1011	30607
32	1041	30518
33	1070	30416
34	1099	30325
35	1127	30179
36	1156	30103
37	1185	30024
38	1213	29908
39	1244	29879
40	1276	29846
41	1302	29708
42	1329	29593
43	1358	29507
44	1402	29761
45	1441	29896
46	1470	29821
47	1501	29779
48	1527	29643
49	1556	29564
50	1580	29414
51	1614	29435
52	1643	29361
53	1669	29243
54	1691	29060
55	1719	28988
56	1746	28901
57	1771	28766
58	1799	28693
59	1825	28605
60	1850	28490
61	1875	28367
62	1900	28264
63	1926	28181
64	1950	28060
65	1980	28023
66	2005	27930
67	2032	27861
68	2056	27754
69	2081	27655
70	2105	27545
71	2132	27484
72	2156	27380
73	2182	27312
74	2205	27203
75	2238	27215
76	2267	27178
77	2301	27208
78	2346	27353
79	2404	27651
80	2448	27775
81	2474	27701
82	2504	27670
83	2529	27579
84	2553	27482
85	2576	27387
86	2604	27327
87	2631	27270
88	2658	27211
89	2686	27159
90	2715	27128
91	2748	27130
92	2786	27180
93	2830	27281
94	2861	27261
95	2888	27204
96	2916	27151
97	2939	27059
98	2967	27006
99	3003	27031
100	3027	26948
101	3051	26868
102	3076	26790
103	3104	26748
104	3130	26686
105	3157	26630
106	3183	26565
107	3210	26514
108	3233	26435
109	3256	26350
110	3281	26285
111	3307	26221
112	3331	26148
113	3362	26129
114	3391	26100
115	3418	26049
116	3442	25978
117	3471	25948
118	3496	25882
119	3519	25812
120	3543	25745
121	3568	25680
122	3591	25607
123	3614	25537
124	3641	25493
125	3667	25442
126	3691	25377
127	3718	25334
128	3744	25285
129	3771	25238
130	3797	25188
131	3821	25132
132	3845	25070
133	3873	25034
134	3899	24987
135	3923	24923
136	3949	24877
137	3976	24839
138	4001	24785
139	4024	24720
140	4048	24663
141	4077	24638
142	4103	24592
143	4129	24546
144	4155	24501
145	4180	24451
146	4203	24392
147	4231	24360
148	4254	24301
149	4281	24259
150	4307	24221
151	4335	24186
152	4372	24208
153	4408	24216
154	4443	24222
155	4482	24249
156	4510	24217
157	4532	24154
158	4559	24117
159	4583	24064
160	4611	24033
161	4640	24006
162	4664	23952
163	4692	23921
164	4719	23885
165	4747	23852
166	4773	23808
167	4797	23757
168	4822	23714
169	4846	23661
170	4871	23618
171	4898	23582
172	4924	23539
173	4948	23489
174	4979	23473
175	5004	23430
176	5028	23379
177	5054	23342
178	5079	23296
179	5113	23294
180	5147	23289
181	5179	23279
182	5269	23523
183	5341	23688
184	5448	24004
185	5485	24006
186	5513	23969
187	5544	23946
188	5577	23934
189	5610	23918
190	5641	23893
191	5674	23879
192	5709	23872
193	5740	23850
194	5774	23837
195	5807	23822
196	5837	23794
197	5871	23781
198	5901	23755
199	5937	23751
200	5968	23725
201	5994	23682
202	6028	23668
203	6059	23642
204	6090	23620
205	6121	23594
206	6151	23567
207	6184	23547
208	6212	23513
209	6243	23486
210	6280	23484
211	6315	23475
212	6368	23530
213	6402	23513
214	6445	23534
215	6488	23550
216	6519	23525
217	6554	23512
218	6579	23463
219	6603	23412
220	6637	23395
221	6669	23374
222	6712	23386
223	6747	23374
224	6781	23356
225	6814	23339
226	6849	23323
227	6884	23309
228	6975	23486
229	7011	23473
230	7044	23451
231	7077	23429
232	7109	23404
233	7147	23396
234	7182	23380
235	7215	23359
236	7251	23344
237	7283	23320
238	7326	23329
239	7373	23350
240	7404	23319
241	7439	23301
242	7472	23277
243	7504	23251
244	7534	23218
245	7576	23221
246	7613	23209
247	7648	23192
248	7683	23174
249	7718	23154
250	7754	23140
251	7787	23115
252	7821	23093
253	7854	23069
254	7888	23046
255	7921	23020
256	7960	23013
257	7995	22993
258	8027	22967
259	8059	22939
260	8091	22910
261	8122	22879
262	8151	22841
263	8183	22813
264	8222	22805
265	8253	22774
266	8284	22744
267	8324	22737
268	8383	22783
269	8422	22770
270	8458	22754
271	8492	22730
272	8526	22706
273	8560	22682
274	8600	22675
275	8637	22658
276	8676	22645
277	8718	22643
278	8756	22628
279	8793	22610
280	8826	22583
281	8864	22570
282	8898	22544
283	8927	22508
284	8965	22493
285	8995	22457
286	9028	22429
287	9063	22406
288	9097	22381
289	9128	22348
290	9163	22325
291	9201	22310
292	9237	22289
293	9273	22269
294	9319	22271
295	9354	22248
296	9387	22219
297	9420	22191
298	9450	22155
299	9480	22122
300	9513	22093
301	9548	22069
302	9585	22050
303	9620	22025
304	9653	21997
305	9687	21970
306	9722	21947
307	9760	21928
308	9797	21910
309	9831	21883
310	9862	21850
311	9898	21827
312	9938	21813
313	9971	21784
314	10000	21746
315	10037	21727
316	10066	21688
317	10099	21660
318	10130	21625
319	10155	21579
320	10185	21544
321	10212	21504
322	10240	21464
323	10268	21424
324	10297	21387
325	10354	21408
326	10384	21372
327	10413	21335
328	10444	21302
329	10473	21265
330	10497	21217
331	10526	21180
332	10551	21135
333	10578	21094
334	10605	21053
335	10632	21012
336	10663	20978
337	10692	20941
338	10721	20905
339	10749	20866
340	10775	20824
341	10800	20780
342	10827	20739
343	10853	20696
344	10877	20651
345	10907	20617
346	10934	20577
347	10960	20535
348	10986	20492
349	11013	20453
350	11047	20426
351	11076	20390
352	11104	20352
353	11131	20313
354	11157	20271
355	11188	20239
356	11216	20202
357	11241	20159
358	11270	20123
359	11302	20093
360	11336	20066
361	11367	20033
362	11391	19989
363	11421	19955
364	11447	19916
365	11474	19877
366	11500	19836
367	11525	19793
368	11551	19754
369	11579	19715
370	11604	19674
371	11628	19630
372	11655	19592
373	11686	19560
374	11713	19523
375	11738	19481
376	11766	19443
377	11792	19405
378	11818	19365
379	11842	19322
380	11871	19287
381	11898	19249
382	11926	19212
383	11950	19170
384	11978	19134
385	12004	19094
386	12030	19055
387	12053	19012
388	12084	18981
389	12107	18937
390	12132	18896
391	12155	18853
392	12183	18817
393	12206	18774
394	12237	18743
395	12266	18709
396	12306	18691
397	12345	18673
398	12378	18645
399	12411	18617
400	12435	18575
401	12465	18542
402	12488	18500
403	12513	18461
404	12539	18421
405	12565	18384
406	12592	18346
407	12617	18307
408	12648	18276
409	12676	18241
410	12698	18198
411	12731	18170
412	12758	18134
413	12781	18091
414	12808	18055
415	12831	18013
416	12857	17976
417	12882	17936
418	12909	17901
419	12934	17862
420	12960	17824
421	12984	17784
422	13013	17751
423	13043	17720
424	13068	17680
425	13094	17643
426	13126	17615
427	13155	17581
428	13187	17552
429	13212	17514
430	13238	17477
431	13273	17452
432	13311	17430
433	13343	17401
434	13369	17365
435	13395	17328
436	13424	17295
437	13452	17261
438	13477	17223
439	13506	17190
440	13528	17148
441	13558	17116
442	13585	17080
443	13610	17043
444	13639	17010
445	13669	16979
446	13693	16941
447	13722	16908
448	13749	16873
449	13775	16836
450	13803	16803
451	13826	16762
452	13853	16727
453	13877	16690
454	13907	16658
455	13935	16624
456	13964	16591
457	13991	16557
458	14016	16520
459	14041	16483
460	14069	16449
461	14090	16408
462	14117	16374
463	14142	16336
464	14171	16304
465	14193	16264
466	14220	16230
467	14243	16191
468	14272	16159
469	14312	16139
470	14359	16128
471	14384	16091
472	14407	16052
473	14443	16028
474	14469	15992
475	14496	15958
476	14522	15922
477	14565	15906
478	14592	15872
479	14621	15839
480	14652	15809
481	14676	15773
482	14705	15740
483	14732	15706
484	14759	15672
485	14786	15638
486	14812	15603
487	14835	15564
488	14865	15534
489	14891	15499
490	14918	15465
491	14947	15433
492	14975	15401
493	15001	15365
494	15033	15337
495	15058	15301
496	15084	15266
497	15113	15234
498	15139	15200
499	15166	15166
500	15195	15135
501	15218	15096
502	15246	15064
503	15270	15027
504	15301	14998
505	15335	14972
506	15365	14941
507	15394	14909
508	15420	14874
509	15448	14842
510	15474	14807
511	15501	14774
512	15527	14740
513	15554	14707
514	15582	14675
515	15608	14640
516	15635	14607
517	15663	14574
518	15693	14544
519	15719	14510
520	15747	14478
521	15775	14445
522	15797	14408
523	15823	14373
524	15845	14336
525	15871	14302
526	15896	14267
527	15922	14234
528	15944	14196
529	15969	14161
530	15993	14126
531	16018	14091
532	16043	14056
533	16073	14026
534	16103	13996
535	16133	13966
536	16160	13933
537	16184	13898
538	16209	13863
539	16234	13829
540	16259	13794
541	16286	13762
542	16325	13739
543	16359	13712
544	16386	13680
545	16507	13726
546	16600	13748
547	16625	13712
548	16655	13682
549	16681	13648
550	16706	13613
551	16732	13580
552	16758	13545
553	16786	13513
554	16808	13477
555	16834	13443
556	16857	13407
557	16890	13379
558	16920	13348
559	16946	13314
560	16973	13281
561	16997	13247
562	17023	13213
563	17049	13180
564	17077	13148
565	17104	13115
566	17131	13082
567	17156	13048
568	17184	13016
569	17208	12981
570	17234	12948
571	17263	12917
572	17288	12883
573	17314	12849
574	17346	12821
575	17374	12789
576	17401	12757
577	17429	12725
578	17453	12690
579	17480	12658
580	17504	12623
581	17531	12591
582	17556	12557
583	17581	12523
584	17610	12493
585	17637	12460
586	17665	12429
587	17691	12395
588	17720	12365
589	17748	12333
590	17777	12302
591	17801	12268
592	17827	12235
593	17856	12204
594	17884	12173
595	17911	12141
596	17938	12109
597	17965	12076
598	17993	12045
599	18017	12011
600	18045	11980
601	18068	11945
602	18092	11911
