id,Precio_cat
4820,5
4821,4
4822,5
4823,5
4824,3
4825,3
4826,5
4827,5
4828,5
4829,5
4830,5
4831,5
4832,3
4833,5
4834,5
4835,4
4836,3
4837,5
4838,5
4839,4
4840,4
4841,2
4842,4
4843,5
4844,5
4845,5
4846,5
4847,5
4848,5
4849,5
4850,5
4851,5
4852,5
4853,5
4854,5
4855,5
4856,5
4857,2
4858,5
4859,3
4860,5
4861,5
4862,5
4863,5
4864,5
4865,5
4866,5
4867,5
4868,5
4869,4
4870,3
4871,5
4872,5
4873,4
4874,4
4875,5
4876,5
4877,3
4878,3
4879,4
4880,5
4881,5
4882,5
4883,5
4884,5
4885,5
4886,5
4887,3
4888,5
4889,5
4890,5
4891,5
4892,5
4893,5
4894,5
4895,5
4896,4
4897,5
4898,5
4899,5
4900,5
4901,3
4902,5
4903,5
4904,5
4905,4
4906,5
4907,5
4908,5
4909,5
4910,5
4911,5
4912,5
4913,3
4914,5
4915,3
4916,5
4917,5
4918,5
4919,3
4920,5
4921,5
4922,3
4923,5
4924,5
4925,5
4926,3
4927,5
4928,5
4929,4
4930,4
4931,3
4932,3
4933,3
4934,5
4935,5
4936,5
4937,5
4938,2
4939,5
4940,5
4941,3
4942,5
4943,5
4944,5
4945,5
4946,4
4947,4
4948,4
4949,5
4950,5
4951,4
4952,5
4953,5
4954,5
4955,3
4956,2
4957,3
4958,5
4959,5
4960,5
4961,5
4962,4
4963,5
4964,5
4965,4
4966,5
4967,5
4968,5
4969,5
4970,5
4971,5
4972,5
4973,5
4974,5
4975,5
4976,5
4977,5
4978,5
4979,4
4980,3
4981,5
4982,4
4983,5
4984,5
4985,5
4986,5
4987,5
4988,5
4989,3
4990,5
4991,3
4992,2
4993,5
4994,5
4995,5
4996,5
4997,5
4998,3
4999,5
5000,5
5001,5
5002,5
5003,5
5004,5
5005,5
5006,5
5007,3
5008,5
5009,5
5010,5
5011,5
5012,5
5013,5
5014,5
5015,5
5016,5
5017,5
5018,5
5019,4
5020,5
5021,3
5022,5
5023,3
5024,3
5025,5
5026,5
5027,4
5028,3
5029,2
5030,5
5031,5
5032,4
5033,5
5034,5
5035,5
5036,5
5037,4
5038,5
5039,5
5040,5
5041,5
5042,5
5043,5
5044,4
5045,5
5046,5
5047,5
5048,4
5049,5
5050,4
5051,5
5052,5
5053,5
5054,4
5055,2
5056,5
5057,5
5058,5
5059,5
5060,5
5061,5
5062,3
5063,5
5064,3
5065,4
5066,5
5067,5
5068,5
5069,5
5070,5
5071,3
5072,5
5073,5
5074,5
5075,5
5076,5
5077,5
5078,5
5079,5
5080,4
5081,5
5082,5
5083,3
5084,5
5085,2
5086,5
5087,5
5088,5
5089,5
5090,4
5091,4
5092,5
5093,4
5094,5
5095,5
5096,5
5097,5
5098,5
5099,5
5100,5
5101,5
5102,5
5103,5
5104,5
5105,5
5106,5
5107,4
5108,5
5109,4
5110,3
5111,3
5112,5
5113,5
5114,3
5115,4
5116,5
5117,5
5118,5
5119,5
5120,3
5121,5
5122,5
5123,5
5124,3
5125,5
5126,5
5127,5
5128,5
5129,5
5130,5
5131,5
5132,5
5133,5
5134,5
5135,5
5136,5
5137,5
5138,3
5139,5
5140,5
5141,5
5142,5
5143,5
5144,5
5145,5
5146,5
5147,3
5148,5
5149,5
5150,5
5151,5
5152,5
5153,5
5154,5
5155,3
5156,3
5157,5
5158,5
5159,4
5160,3
5161,5
5162,5
5163,3
5164,5
5165,2
5166,3
5167,3
5168,5
5169,5
5170,5
5171,5
5172,5
5173,5
5174,5
5175,5
5176,3
5177,5
5178,3
5179,5
5180,5
5181,3
5182,2
5183,5
5184,5
5185,5
5186,5
5187,5
5188,5
5189,3
5190,5
5191,5
5192,5
5193,5
5194,5
5195,5
5196,4
5197,5
5198,5
5199,5
5200,5
5201,3
5202,5
5203,5
5204,5
5205,5
5206,4
5207,5
5208,5
5209,3
5210,5
5211,3
5212,5
5213,5
5214,5
5215,5
5216,5
5217,4
5218,5
5219,5
5220,5
5221,5
5222,4
5223,5
5224,5
5225,3
5226,5
5227,3
5228,5
5229,5
5230,5
5231,5
5232,5
5233,5
5234,5
5235,4
5236,3
5237,3
5238,3
5239,4
5240,3
5241,5
5242,3
5243,5
5244,5
5245,5
5246,3
5247,5
5248,5
5249,5
5250,5
5251,5
5252,4
5253,5
5254,5
5255,5
5256,5
5257,5
5258,5
5259,5
5260,5
5261,5
5262,5
5263,4
5264,5
5265,3
5266,3
5267,5
5268,5
5269,5
5270,5
5271,5
5272,5
5273,3
5274,5
5275,5
5276,5
5277,5
5278,3
5279,5
5280,5
5281,5
5282,5
5283,5
5284,5
5285,5
5286,4
5287,5
5288,5
5289,5
5290,3
5291,5
5292,5
5293,5
5294,5
5295,5
5296,4
5297,4
5298,5
5299,5
5300,5
5301,5
5302,5
5303,5
5304,5
5305,5
5306,5
5307,5
5308,5
5309,5
5310,5
5311,5
5312,5
5313,4
5314,5
5315,5
5316,5
5317,5
5318,5
5319,4
5320,5
5321,3
5322,5
5323,3
5324,5
5325,5
5326,3
5327,5
5328,3
5329,3
5330,5
5331,5
5332,3
5333,4
5334,5
5335,4
5336,5
5337,4
5338,5
5339,4
5340,5
5341,5
5342,5
5343,5
5344,3
5345,2
5346,5
5347,5
5348,5
5349,5
5350,5
5351,5
5352,5
5353,5
5354,3
5355,5
5356,5
5357,5
5358,5
5359,5
5360,5
5361,5
5362,5
5363,5
5364,4
5365,5
5366,5
5367,5
5368,5
5369,5
5370,5
5371,5
5372,5
5373,3
5374,5
5375,5
5376,5
5377,5
5378,5
5379,5
5380,5
5381,4
5382,3
5383,5
5384,5
5385,5
5386,3
5387,5
5388,5
5389,3
5390,5
5391,5
5392,5
5393,5
5394,5
5395,5
5396,5
5397,5
5398,5
5399,5
5400,5
5401,4
5402,4
5403,5
5404,5
5405,5
5406,3
5407,5
5408,5
5409,5
5410,5
5411,5
5412,5
5413,5
5414,5
5415,3
5416,5
5417,5
5418,3
5419,5
5420,5
5421,5
5422,5
5423,5
5424,5
5425,3
5426,5
5427,4
5428,5
5429,3
5430,3
5431,5
5432,5
5433,5
5434,5
5435,5
5436,5
5437,4
5438,5
5439,5
5440,5
5441,5
5442,5
5443,5
5444,5
5445,4
5446,5
5447,2
5448,5
5449,5
5450,5
5451,5
5452,3
5453,5
5454,3
5455,5
5456,4
5457,5
5458,3
5459,5
5460,5
5461,5
5462,5
5463,4
5464,5
5465,5
5466,5
5467,5
5468,5
5469,3
5470,5
5471,5
5472,5
5473,5
5474,3
5475,5
5476,4
5477,5
5478,5
5479,5
5480,5
5481,5
5482,2
5483,5
5484,4
5485,5
5486,5
5487,4
5488,5
5489,5
5490,4
5491,3
5492,5
5493,3
5494,4
5495,5
5496,5
5497,5
5498,5
5499,5
5500,5
5501,5
5502,5
5503,5
5504,5
5505,5
5506,3
5507,5
5508,5
5509,3
5510,3
5511,5
5512,4
5513,3
5514,5
5515,5
5516,3
5517,5
5518,5
5519,5
5520,5
5521,5
5522,3
5523,5
5524,3
5525,5
5526,5
5527,5
5528,4
5529,3
5530,5
5531,5
5532,4
5533,5
5534,5
5535,3
5536,5
5537,5
5538,4
5539,5
5540,5
5541,5
5542,5
5543,4
5544,5
5545,5
5546,2
5547,4
5548,3
5549,3
5550,5
5551,5
5552,5
5553,4
5554,3
5555,5
5556,5
5557,5
5558,5
5559,5
5560,3
5561,5
5562,5
5563,5
5564,5
5565,5
5566,5
5567,5
5568,5
5569,5
5570,5
5571,5
5572,5
5573,5
5574,5
5575,3
5576,4
5577,4
5578,5
5579,4
5580,5
5581,5
5582,5
5583,5
5584,5
5585,5
5586,3
5587,5
5588,5
5589,5
5590,5
5591,5
5592,5
5593,2
5594,4
5595,2
5596,5
5597,5
5598,5
5599,5
5600,5
5601,5
5602,5
5603,5
5604,5
5605,5
5606,4
5607,5
5608,3
5609,3
5610,3
5611,5
5612,5
5613,5
5614,5
5615,5
5616,4
5617,5
5618,5
5619,3
5620,5
5621,4
5622,2
5623,5
5624,5
5625,5
5626,5
5627,3
5628,3
5629,5
5630,4
5631,3
5632,5
5633,5
5634,5
5635,5
5636,5
5637,5
5638,4
5639,5
5640,3
5641,5
5642,4
5643,2
5644,5
5645,4
5646,5
5647,3
5648,5
5649,4
5650,5
5651,5
5652,5
5653,5
5654,5
5655,4
5656,5
5657,5
5658,5
5659,4
5660,5
5661,5
5662,5
5663,5
5664,5
5665,5
5666,3
5667,5
5668,3
5669,5
5670,5
5671,4
5672,5
5673,5
5674,5
5675,5
5676,3
5677,2
5678,5
5679,3
5680,5
5681,4
5682,3
5683,4
5684,5
5685,5
5686,3
5687,5
5688,5
5689,4
5690,3
5691,5
5692,5
5693,3
5694,5
5695,5
5696,3
5697,5
5698,5
5699,5
5700,5
5701,3
5702,3
5703,5
5704,3
5705,5
5706,5
5707,5
5708,5
5709,5
5710,5
5711,4
5712,5
5713,5
5714,4
5715,3
5716,5
5717,5
5718,5
5719,4
5720,4
5721,5
5722,5
5723,2
5724,2
5725,5
5726,5
5727,4
5728,5
5729,5
5730,5
5731,5
5732,5
5733,5
5734,3
5735,5
5736,4
5737,5
5738,5
5739,5
5740,4
5741,5
5742,5
5743,5
5744,4
5745,5
5746,2
5747,5
5748,5
5749,5
5750,3
5751,3
5752,4
5753,4
5754,5
5755,3
5756,5
5757,3
5758,5
5759,5
5760,5
5761,5
5762,5
5763,4
5764,5
5765,5
5766,5
5767,2
5768,5
5769,5
5770,4
5771,5
5772,5
5773,5
5774,5
5775,5
5776,3
5777,5
5778,5
5779,5
5780,4
5781,5
5782,5
5783,5
5784,5
5785,5
5786,5
5787,5
5788,5
5789,5
5790,4
5791,5
5792,5
5793,5
5794,5
5795,3
5796,4
5797,5
5798,5
5799,5
5800,5
5801,5
5802,5
5803,5
5804,3
5805,5
5806,5
5807,5
5808,4
5809,5
5810,5
5811,5
5812,5
5813,5
5814,5
5815,3
5816,2
5817,5
5818,5
5819,4
5820,5
5821,3
5822,5
5823,4
5824,5
5825,3
5826,5
5827,4
5828,4
5829,5
5830,5
5831,5
5832,5
5833,5
5834,5
5835,3
5836,5
5837,5
5838,5
5839,5
5840,5
5841,5
5842,5
5843,5
5844,5
5845,5
5846,5
5847,5
5848,2
5849,4
5850,5
5851,5
5852,5
5853,3
5854,4
5855,3
5856,5
5857,5
5858,5
5859,4
5860,3
5861,5
5862,5
5863,5
5864,5
5865,5
5866,5
5867,5
5868,4
5869,5
5870,5
5871,5
5872,4
5873,3
5874,3
5875,4
5876,5
5877,5
5878,5
5879,5
5880,5
5881,5
5882,3
5883,5
5884,5
5885,5
5886,3
5887,5
5888,3
5889,4
5890,5
5891,3
5892,3
5893,5
5894,5
5895,5
5896,5
5897,5
5898,5
5899,5
5900,5
5901,5
5902,3
5903,2
5904,5
5905,5
5906,5
5907,2
5908,5
5909,5
5910,5
5911,5
5912,4
5913,4
5914,5
5915,5
5916,5
5917,5
5918,5
5919,4
5920,5
5921,5
5922,5
5923,2
5924,4
5925,5
5926,5
5927,4
5928,5
5929,5
5930,5
5931,5
5932,5
5933,5
5934,5
5935,5
5936,5
5937,2
5938,5
5939,4
5940,5
5941,5
5942,3
5943,4
5944,5
5945,5
5946,5
5947,3
5948,4
5949,5
5950,5
5951,5
5952,5
5953,5
5954,5
5955,5
5956,3
5957,5
5958,4
5959,5
5960,3
5961,5
5962,5
5963,5
5964,5
5965,4
5966,4
5967,4
5968,5
5969,4
5970,5
5971,5
5972,3
5973,5
5974,5
5975,4
5976,5
5977,5
5978,5
