id,Precio_cat
4820,5
4821,3
4822,3
4823,5
4824,3
4825,4
4826,5
4827,5
4828,5
4829,5
4830,5
4831,5
4832,3
4833,5
4834,5
4835,4
4836,3
4837,5
4838,5
4839,2
4840,3
4841,3
4842,2
4843,5
4844,5
4845,5
4846,5
4847,5
4848,4
4849,5
4850,5
4851,5
4852,5
4853,5
4854,3
4855,4
4856,5
4857,3
4858,5
4859,3
4860,5
4861,4
4862,5
4863,5
4864,4
4865,5
4866,4
4867,5
4868,5
4869,4
4870,3
4871,5
4872,5
4873,4
4874,3
4875,3
4876,5
4877,3
4878,3
4879,4
4880,5
4881,4
4882,5
4883,5
4884,3
4885,5
4886,5
4887,3
4888,5
4889,5
4890,5
4891,5
4892,5
4893,5
4894,5
4895,5
4896,5
4897,5
4898,5
4899,5
4900,5
4901,4
4902,4
4903,5
4904,5
4905,2
4906,5
4907,5
4908,5
4909,4
4910,5
4911,5
4912,5
4913,2
4914,5
4915,3
4916,5
4917,5
4918,5
4919,2
4920,5
4921,4
4922,3
4923,5
4924,5
4925,5
4926,3
4927,5
4928,5
4929,3
4930,4
4931,3
4932,3
4933,3
4934,5
4935,5
4936,5
4937,5
4938,2
4939,5
4940,5
4941,5
4942,5
4943,5
4944,4
4945,5
4946,2
4947,3
4948,3
4949,3
4950,4
4951,4
4952,5
4953,5
4954,5
4955,4
4956,2
4957,2
4958,5
4959,5
4960,4
4961,3
4962,3
4963,5
4964,4
4965,2
4966,5
4967,4
4968,4
4969,5
4970,5
4971,5
4972,5
4973,4
4974,5
4975,3
4976,5
4977,5
4978,5
4979,4
4980,2
4981,5
4982,3
4983,5
4984,5
4985,5
4986,5
4987,5
4988,5
4989,3
4990,5
4991,2
4992,3
4993,5
4994,5
4995,3
4996,5
4997,5
4998,4
4999,4
5000,5
5001,5
5002,5
5003,5
5004,5
5005,5
5006,5
5007,4
5008,5
5009,5
5010,5
5011,5
5012,5
5013,5
5014,4
5015,5
5016,5
5017,5
5018,5
5019,5
5020,5
5021,3
5022,5
5023,3
5024,3
5025,5
5026,2
5027,2
5028,2
5029,2
5030,5
5031,5
5032,3
5033,5
5034,5
5035,5
5036,5
5037,4
5038,3
5039,5
5040,5
5041,5
5042,5
5043,4
5044,4
5045,5
5046,4
5047,5
5048,4
5049,5
5050,4
5051,5
5052,5
5053,5
5054,5
5055,2
5056,5
5057,5
5058,5
5059,5
5060,5
5061,5
5062,3
5063,5
5064,3
5065,3
5066,5
5067,5
5068,5
5069,5
5070,5
5071,2
5072,5
5073,5
5074,5
5075,5
5076,3
5077,5
5078,5
5079,5
5080,4
5081,5
5082,5
5083,3
5084,3
5085,2
5086,5
5087,5
5088,5
5089,5
5090,4
5091,4
5092,5
5093,3
5094,5
5095,4
5096,5
5097,5
5098,5
5099,3
5100,5
5101,5
5102,5
5103,5
5104,5
5105,4
5106,5
5107,3
5108,5
5109,4
5110,2
5111,3
5112,5
5113,5
5114,3
5115,4
5116,5
5117,4
5118,5
5119,5
5120,3
5121,4
5122,5
5123,5
5124,3
5125,4
5126,4
5127,4
5128,4
5129,5
5130,3
5131,5
5132,5
5133,5
5134,4
5135,4
5136,4
5137,5
5138,2
5139,5
5140,4
5141,5
5142,5
5143,5
5144,5
5145,5
5146,5
5147,3
5148,5
5149,5
5150,5
5151,5
5152,4
5153,5
5154,5
5155,2
5156,2
5157,5
5158,4
5159,3
5160,4
5161,5
5162,5
5163,2
5164,3
5165,3
5166,3
5167,4
5168,5
5169,4
5170,5
5171,5
5172,3
5173,3
5174,4
5175,5
5176,4
5177,5
5178,4
5179,5
5180,5
5181,4
5182,4
5183,4
5184,5
5185,5
5186,5
5187,4
5188,5
5189,4
5190,5
5191,5
5192,5
5193,5
5194,5
5195,5
5196,4
5197,5
5198,5
5199,4
5200,5
5201,3
5202,5
5203,5
5204,5
5205,5
5206,2
5207,5
5208,5
5209,3
5210,5
5211,3
5212,5
5213,4
5214,5
5215,5
5216,3
5217,3
5218,5
5219,5
5220,5
5221,5
5222,3
5223,5
5224,5
5225,3
5226,5
5227,3
5228,5
5229,5
5230,5
5231,5
5232,5
5233,3
5234,5
5235,3
5236,3
5237,2
5238,2
5239,4
5240,3
5241,5
5242,3
5243,5
5244,5
5245,5
5246,3
5247,5
5248,4
5249,5
5250,5
5251,5
5252,3
5253,5
5254,5
5255,5
5256,4
5257,4
5258,5
5259,5
5260,5
5261,4
5262,3
5263,3
5264,5
5265,2
5266,4
5267,5
5268,4
5269,5
5270,5
5271,4
5272,5
5273,3
5274,5
5275,5
5276,5
5277,5
5278,3
5279,5
5280,5
5281,5
5282,5
5283,5
5284,5
5285,5
5286,3
5287,4
5288,5
5289,5
5290,3
5291,5
5292,5
5293,5
5294,4
5295,5
5296,4
5297,4
5298,4
5299,5
5300,4
5301,5
5302,5
5303,5
5304,5
5305,5
5306,5
5307,5
5308,3
5309,5
5310,5
5311,4
5312,4
5313,4
5314,5
5315,4
5316,5
5317,5
5318,5
5319,3
5320,5
5321,3
5322,5
5323,2
5324,5
5325,5
5326,4
5327,5
5328,3
5329,2
5330,5
5331,5
5332,2
5333,4
5334,3
5335,3
5336,4
5337,4
5338,5
5339,4
5340,5
5341,5
5342,5
5343,5
5344,3
5345,4
5346,5
5347,5
5348,5
5349,5
5350,5
5351,3
5352,4
5353,5
5354,3
5355,5
5356,3
5357,5
5358,5
5359,5
5360,5
5361,5
5362,5
5363,5
5364,4
5365,5
5366,5
5367,3
5368,5
5369,5
5370,5
5371,5
5372,2
5373,2
5374,5
5375,5
5376,5
5377,5
5378,5
5379,5
5380,5
5381,4
5382,3
5383,5
5384,5
5385,5
5386,3
5387,5
5388,4
5389,2
5390,4
5391,5
5392,5
5393,5
5394,5
5395,5
5396,5
5397,5
5398,5
5399,5
5400,3
5401,3
5402,4
5403,5
5404,5
5405,5
5406,3
5407,5
5408,5
5409,5
5410,5
5411,5
5412,5
5413,4
5414,4
5415,2
5416,5
5417,5
5418,3
5419,4
5420,4
5421,5
5422,5
5423,5
5424,5
5425,2
5426,5
5427,2
5428,5
5429,3
5430,3
5431,5
5432,5
5433,5
5434,5
5435,3
5436,5
5437,5
5438,5
5439,5
5440,5
5441,5
5442,4
5443,5
5444,5
5445,4
5446,5
5447,2
5448,5
5449,4
5450,5
5451,4
5452,3
5453,5
5454,3
5455,5
5456,3
5457,5
5458,3
5459,5
5460,5
5461,5
5462,5
5463,4
5464,5
5465,5
5466,4
5467,5
5468,5
5469,2
5470,5
5471,3
5472,3
5473,3
5474,2
5475,5
5476,4
5477,5
5478,5
5479,5
5480,5
5481,5
5482,2
5483,5
5484,4
5485,4
5486,5
5487,3
5488,5
5489,5
5490,5
5491,4
5492,4
5493,3
5494,4
5495,5
5496,5
5497,5
5498,5
5499,5
5500,5
5501,5
5502,5
5503,5
5504,5
5505,5
5506,3
5507,5
5508,5
5509,2
5510,5
5511,5
5512,4
5513,3
5514,5
5515,5
5516,2
5517,5
5518,3
5519,5
5520,5
5521,5
5522,4
5523,5
5524,2
5525,5
5526,5
5527,5
5528,4
5529,2
5530,5
5531,5
5532,4
5533,5
5534,5
5535,3
5536,4
5537,4
5538,4
5539,3
5540,5
5541,5
5542,4
5543,3
5544,5
5545,5
5546,2
5547,4
5548,2
5549,2
5550,5
5551,5
5552,5
5553,3
5554,2
5555,4
5556,3
5557,5
5558,5
5559,5
5560,2
5561,5
5562,5
5563,5
5564,3
5565,4
5566,4
5567,5
5568,5
5569,5
5570,5
5571,5
5572,3
5573,5
5574,5
5575,4
5576,4
5577,4
5578,5
5579,3
5580,4
5581,5
5582,4
5583,5
5584,5
5585,5
5586,3
5587,5
5588,5
5589,5
5590,5
5591,5
5592,5
5593,2
5594,4
5595,2
5596,5
5597,5
5598,5
5599,5
5600,5
5601,5
5602,5
5603,5
5604,5
5605,5
5606,5
5607,5
5608,2
5609,3
5610,5
5611,5
5612,5
5613,4
5614,4
5615,4
5616,3
5617,5
5618,4
5619,4
5620,4
5621,3
5622,2
5623,3
5624,5
5625,4
5626,5
5627,3
5628,3
5629,5
5630,4
5631,3
5632,4
5633,4
5634,5
5635,5
5636,5
5637,5
5638,5
5639,4
5640,3
5641,5
5642,3
5643,2
5644,5
5645,4
5646,5
5647,2
5648,3
5649,3
5650,5
5651,5
5652,5
5653,5
5654,5
5655,4
5656,3
5657,4
5658,5
5659,3
5660,4
5661,3
5662,3
5663,5
5664,5
5665,5
5666,3
5667,5
5668,3
5669,5
5670,5
5671,3
5672,5
5673,5
5674,5
5675,5
5676,2
5677,3
5678,5
5679,3
5680,5
5681,4
5682,3
5683,2
5684,5
5685,5
5686,3
5687,5
5688,3
5689,4
5690,4
5691,5
5692,5
5693,4
5694,5
5695,3
5696,2
5697,5
5698,5
5699,4
5700,5
5701,3
5702,4
5703,5
5704,2
5705,5
5706,5
5707,3
5708,5
5709,5
5710,5
5711,3
5712,5
5713,5
5714,3
5715,2
5716,5
5717,5
5718,5
5719,4
5720,4
5721,5
5722,5
5723,3
5724,3
5725,5
5726,5
5727,3
5728,5
5729,4
5730,5
5731,5
5732,5
5733,5
5734,4
5735,4
5736,2
5737,3
5738,5
5739,5
5740,4
5741,5
5742,5
5743,5
5744,3
5745,5
5746,2
5747,5
5748,4
5749,5
5750,2
5751,4
5752,4
5753,3
5754,5
5755,4
5756,5
5757,3
5758,5
5759,5
5760,5
5761,5
5762,5
5763,4
5764,5
5765,5
5766,4
5767,4
5768,4
5769,5
5770,4
5771,5
5772,5
5773,5
5774,5
5775,5
5776,3
5777,5
5778,5
5779,5
5780,2
5781,5
5782,5
5783,5
5784,5
5785,5
5786,3
5787,5
5788,5
5789,5
5790,3
5791,5
5792,5
5793,5
5794,4
5795,4
5796,4
5797,5
5798,5
5799,5
5800,5
5801,5
5802,5
5803,4
5804,4
5805,5
5806,5
5807,5
5808,4
5809,5
5810,5
5811,5
5812,3
5813,4
5814,5
5815,4
5816,2
5817,4
5818,5
5819,3
5820,5
5821,2
5822,4
5823,4
5824,3
5825,3
5826,5
5827,4
5828,3
5829,5
5830,5
5831,4
5832,4
5833,4
5834,4
5835,3
5836,5
5837,5
5838,3
5839,5
5840,5
5841,5
5842,5
5843,5
5844,5
5845,5
5846,4
5847,5
5848,2
5849,4
5850,3
5851,5
5852,3
5853,3
5854,4
5855,4
5856,3
5857,5
5858,5
5859,3
5860,4
5861,4
5862,5
5863,5
5864,5
5865,5
5866,5
5867,5
5868,4
5869,5
5870,5
5871,5
5872,4
5873,3
5874,3
5875,3
5876,5
5877,5
5878,5
5879,5
5880,4
5881,5
5882,3
5883,5
5884,4
5885,5
5886,3
5887,5
5888,3
5889,3
5890,5
5891,2
5892,3
5893,5
5894,5
5895,5
5896,5
5897,5
5898,3
5899,3
5900,4
5901,5
5902,3
5903,5
5904,5
5905,5
5906,5
5907,2
5908,5
5909,5
5910,4
5911,3
5912,3
5913,2
5914,5
5915,5
5916,5
5917,4
5918,4
5919,4
5920,5
5921,5
5922,3
5923,2
5924,3
5925,5
5926,5
5927,4
5928,5
5929,4
5930,5
5931,5
5932,5
5933,5
5934,5
5935,5
5936,5
5937,2
5938,5
5939,4
5940,5
5941,5
5942,3
5943,4
5944,5
5945,5
5946,4
5947,2
5948,3
5949,4
5950,5
5951,4
5952,5
5953,5
5954,5
5955,3
5956,5
5957,5
5958,4
5959,5
5960,3
5961,5
5962,5
5963,5
5964,5
5965,4
5966,3
5967,2
5968,3
5969,2
5970,5
5971,5
5972,3
5973,5
5974,4
5975,5
5976,5
5977,5
5978,5
