id,Precio_cat
4820,4
4821,0
4822,1
4823,2
4824,1
4825,0
4826,4
4827,4
4828,2
4829,2
4830,3
4831,4
4832,0
4833,2
4834,1
4835,3
4836,1
4837,4
4838,4
4839,0
4840,0
4841,0
4842,0
4843,3
4844,1
4845,2
4846,4
4847,3
4848,2
4849,3
4850,3
4851,3
4852,3
4853,3
4854,1
4855,2
4856,4
4857,0
4858,2
4859,0
4860,2
4861,2
4862,4
4863,0
4864,1
4865,2
4866,3
4867,2
4868,2
4869,3
4870,0
4871,2
4872,4
4873,1
4874,1
4875,0
4876,4
4877,0
4878,1
4879,0
4880,3
4881,2
4882,3
4883,1
4884,1
4885,0
4886,3
4887,0
4888,4
4889,3
4890,2
4891,3
4892,2
4893,2
4894,3
4895,4
4896,2
4897,3
4898,3
4899,2
4900,2
4901,2
4902,2
4903,2
4904,1
4905,0
4906,4
4907,2
4908,2
4909,1
4910,2
4911,3
4912,2
4913,0
4914,3
4915,0
4916,4
4917,4
4918,1
4919,0
4920,2
4921,2
4922,2
4923,4
4924,2
4925,4
4926,0
4927,2
4928,2
4929,0
4930,4
4931,0
4932,0
4933,0
4934,4
4935,4
4936,4
4937,2
4938,0
4939,2
4940,1
4941,1
4942,3
4943,4
4944,4
4945,2
4946,0
4947,1
4948,1
4949,2
4950,1
4951,1
4952,4
4953,4
4954,1
4955,1
4956,0
4957,0
4958,2
4959,1
4960,2
4961,2
4962,1
4963,4
4964,4
4965,0
4966,4
4967,2
4968,2
4969,2
4970,3
4971,4
4972,4
4973,2
4974,4
4975,3
4976,4
4977,4
4978,4
4979,1
4980,3
4981,1
4982,1
4983,2
4984,3
4985,1
4986,2
4987,2
4988,0
4989,0
4990,4
4991,0
4992,0
4993,4
4994,3
4995,2
4996,4
4997,4
4998,2
4999,2
5000,4
5001,4
5002,3
5003,4
5004,2
5005,2
5006,4
5007,2
5008,4
5009,3
5010,2
5011,4
5012,3
5013,3
5014,2
5015,4
5016,2
5017,2
5018,4
5019,3
5020,4
5021,0
5022,4
5023,0
5024,0
5025,2
5026,3
5027,0
5028,1
5029,0
5030,3
5031,4
5032,0
5033,4
5034,3
5035,2
5036,1
5037,3
5038,1
5039,4
5040,1
5041,3
5042,3
5043,1
5044,1
5045,2
5046,3
5047,2
5048,0
5049,2
5050,2
5051,3
5052,4
5053,4
5054,2
5055,0
5056,4
5057,2
5058,4
5059,4
5060,3
5061,2
5062,1
5063,2
5064,1
5065,1
5066,2
5067,3
5068,3
5069,3
5070,1
5071,1
5072,4
5073,2
5074,4
5075,3
5076,2
5077,1
5078,4
5079,2
5080,1
5081,4
5082,1
5083,0
5084,1
5085,0
5086,4
5087,3
5088,3
5089,2
5090,0
5091,1
5092,2
5093,0
5094,3
5095,2
5096,3
5097,1
5098,4
5099,0
5100,4
5101,3
5102,1
5103,4
5104,2
5105,2
5106,0
5107,2
5108,4
5109,2
5110,0
5111,0
5112,3
5113,3
5114,1
5115,3
5116,4
5117,3
5118,4
5119,2
5120,0
5121,2
5122,1
5123,2
5124,2
5125,2
5126,1
5127,2
5128,2
5129,4
5130,1
5131,4
5132,4
5133,4
5134,2
5135,2
5136,1
5137,2
5138,0
5139,2
5140,2
5141,3
5142,0
5143,2
5144,3
5145,2
5146,2
5147,0
5148,4
5149,4
5150,2
5151,4
5152,1
5153,4
5154,3
5155,0
5156,2
5157,3
5158,2
5159,1
5160,2
5161,3
5162,2
5163,0
5164,2
5165,1
5166,1
5167,0
5168,2
5169,4
5170,3
5171,4
5172,0
5173,4
5174,1
5175,4
5176,1
5177,3
5178,2
5179,3
5180,4
5181,3
5182,0
5183,1
5184,3
5185,3
5186,4
5187,3
5188,4
5189,1
5190,3
5191,1
5192,3
5193,2
5194,3
5195,2
5196,1
5197,1
5198,4
5199,3
5200,2
5201,0
5202,1
5203,4
5204,4
5205,4
5206,0
5207,3
5208,2
5209,0
5210,4
5211,1
5212,4
5213,0
5214,4
5215,4
5216,1
5217,2
5218,3
5219,2
5220,4
5221,4
5222,1
5223,0
5224,2
5225,1
5226,4
5227,0
5228,2
5229,4
5230,4
5231,4
5232,2
5233,2
5234,2
5235,1
5236,0
5237,0
5238,0
5239,2
5240,0
5241,3
5242,0
5243,4
5244,4
5245,1
5246,0
5247,4
5248,3
5249,2
5250,2
5251,2
5252,1
5253,2
5254,4
5255,3
5256,2
5257,2
5258,3
5259,3
5260,4
5261,3
5262,2
5263,1
5264,3
5265,0
5266,0
5267,1
5268,3
5269,2
5270,3
5271,4
5272,2
5273,0
5274,4
5275,3
5276,4
5277,4
5278,0
5279,3
5280,3
5281,3
5282,3
5283,3
5284,4
5285,4
5286,0
5287,3
5288,2
5289,4
5290,1
5291,4
5292,2
5293,2
5294,2
5295,3
5296,1
5297,1
5298,2
5299,0
5300,1
5301,3
5302,3
5303,3
5304,3
5305,3
5306,4
5307,2
5308,0
5309,3
5310,1
5311,3
5312,0
5313,1
5314,3
5315,3
5316,4
5317,4
5318,3
5319,1
5320,2
5321,0
5322,4
5323,0
5324,1
5325,4
5326,1
5327,2
5328,0
5329,0
5330,1
5331,2
5332,0
5333,1
5334,1
5335,1
5336,1
5337,1
5338,3
5339,2
5340,3
5341,4
5342,3
5343,4
5344,2
5345,0
5346,3
5347,4
5348,4
5349,4
5350,4
5351,1
5352,3
5353,3
5354,0
5355,3
5356,1
5357,4
5358,3
5359,4
5360,2
5361,4
5362,3
5363,3
5364,1
5365,2
5366,4
5367,2
5368,1
5369,3
5370,3
5371,2
5372,0
5373,0
5374,4
5375,2
5376,4
5377,3
5378,1
5379,1
5380,3
5381,3
5382,0
5383,1
5384,1
5385,3
5386,1
5387,2
5388,2
5389,1
5390,1
5391,3
5392,4
5393,4
5394,4
5395,2
5396,4
5397,4
5398,1
5399,4
5400,2
5401,1
5402,2
5403,3
5404,4
5405,4
5406,0
5407,2
5408,2
5409,3
5410,2
5411,1
5412,2
5413,0
5414,1
5415,0
5416,3
5417,2
5418,0
5419,3
5420,4
5421,4
5422,4
5423,3
5424,2
5425,0
5426,3
5427,0
5428,2
5429,0
5430,0
5431,4
5432,4
5433,4
5434,3
5435,2
5436,2
5437,1
5438,2
5439,3
5440,3
5441,2
5442,2
5443,3
5444,2
5445,1
5446,4
5447,1
5448,1
5449,2
5450,4
5451,1
5452,0
5453,4
5454,0
5455,4
5456,1
5457,3
5458,3
5459,4
5460,3
5461,4
5462,2
5463,2
5464,4
5465,2
5466,2
5467,4
5468,1
5469,0
5470,2
5471,2
5472,1
5473,1
5474,0
5475,3
5476,3
5477,1
5478,3
5479,3
5480,3
5481,1
5482,0
5483,3
5484,2
5485,2
5486,4
5487,0
5488,4
5489,2
5490,1
5491,0
5492,3
5493,1
5494,1
5495,4
5496,2
5497,4
5498,2
5499,3
5500,1
5501,2
5502,4
5503,4
5504,2
5505,2
5506,2
5507,2
5508,3
5509,0
5510,1
5511,4
5512,2
5513,0
5514,3
5515,2
5516,2
5517,3
5518,0
5519,3
5520,1
5521,3
5522,2
5523,2
5524,1
5525,1
5526,4
5527,1
5528,0
5529,1
5530,4
5531,4
5532,1
5533,4
5534,4
5535,1
5536,2
5537,3
5538,0
5539,1
5540,1
5541,2
5542,4
5543,1
5544,2
5545,0
5546,0
5547,0
5548,0
5549,0
5550,4
5551,3
5552,0
5553,0
5554,0
5555,2
5556,1
5557,4
5558,2
5559,2
5560,0
5561,3
5562,3
5563,2
5564,2
5565,2
5566,1
5567,3
5568,1
5569,3
5570,2
5571,1
5572,1
5573,2
5574,3
5575,1
5576,2
5577,2
5578,2
5579,0
5580,0
5581,2
5582,1
5583,4
5584,4
5585,4
5586,0
5587,2
5588,2
5589,3
5590,4
5591,3
5592,4
5593,0
5594,0
5595,0
5596,4
5597,1
5598,3
5599,4
5600,4
5601,4
5602,4
5603,1
5604,2
5605,2
5606,1
5607,2
5608,3
5609,0
5610,1
5611,2
5612,3
5613,2
5614,2
5615,2
5616,1
5617,0
5618,2
5619,1
5620,2
5621,0
5622,0
5623,1
5624,1
5625,2
